,Industrials_Fund_Value
2020-11-27,30744.120483398438
2020-11-28,29961.359436035156
2020-11-29,29961.359436035156
2020-11-30,29961.359436035156
2020-12-01,30840.479919433594
2020-12-02,30544.799194335938
2020-12-03,31277.39959716797
2020-12-04,32421.83935546875
2020-12-05,32535.359436035156
2020-12-06,32535.359436035156
2020-12-07,32535.359436035156
2020-12-08,32076.0
2020-12-09,32571.0
2020-12-10,31941.359436035156
2020-12-11,31780.319274902344
2020-12-12,31533.479919433594
2020-12-13,31533.479919433594
2020-12-14,31533.479919433594
2020-12-15,31545.359436035156
2020-12-16,30688.680725097656
2020-12-17,30249.120483398438
2020-12-18,30035.27911376953
2020-12-19,30300.60040283203
2020-12-20,30300.60040283203
2020-12-21,30300.60040283203
2020-12-22,30015.479919433594
2020-12-23,30482.759033203125
2020-12-24,30705.83935546875
2020-12-25,29962.680725097656
2020-12-26,29962.680725097656
2020-12-27,29962.680725097656
2020-12-28,29962.680725097656
2020-12-29,29888.759033203125
2020-12-30,30367.919677734375
2020-12-31,30612.120483398438
2021-01-01,30313.799194335938
2021-01-02,30313.799194335938
2021-01-03,30313.799194335938
2021-01-04,30313.799194335938
2021-01-05,31095.240966796875
2021-01-06,33864.598388671875
2021-01-07,34937.759033203125
2021-01-08,34339.79919433594
2021-01-09,33983.401611328125
2021-01-10,33983.401611328125
2021-01-11,33983.401611328125
2021-01-12,34602.48193359375
2021-01-13,33587.39959716797
2021-01-14,34368.83935546875
2021-01-15,33678.479919433594
2021-01-16,34429.55822753906
2021-01-17,34429.55822753906
2021-01-18,34429.55822753906
2021-01-19,34429.55822753906
2021-01-20,34346.401611328125
2021-01-21,34217.04016113281
2021-01-22,34133.87951660156
2021-01-23,33464.640563964844
2021-01-24,33464.640563964844
2021-01-25,33464.640563964844
2021-01-26,32763.72088623047
2021-01-27,31187.640563964844
2021-01-28,33469.919677734375
2021-01-29,32077.319274902344
2021-01-30,33432.95983886719
2021-01-31,33432.95983886719
2021-02-01,33432.95983886719
2021-02-02,33088.43975830078
2021-02-03,33105.60040283203
2021-02-04,34297.55822753906
2021-02-05,35076.36145019531
2021-02-06,35934.36145019531
2021-02-07,35934.36145019531
2021-02-08,35934.36145019531
2021-02-09,36600.95983886719
2021-02-10,36541.55822753906
2021-02-11,36936.240966796875
2021-02-12,37781.04016113281
2021-02-13,38026.55822753906
2021-02-14,38026.55822753906
2021-02-15,38026.55822753906
2021-02-16,38026.55822753906
2021-02-17,36670.919677734375
2021-02-18,36272.28112792969
2021-02-19,38281.3212890625
2021-02-20,39400.6787109375
2021-02-21,39400.6787109375
2021-02-22,39400.6787109375
2021-02-23,40439.51806640625
2021-02-24,41252.63854980469
2021-02-25,38954.51806640625
2021-02-26,39254.16064453125
2021-02-27,39928.6787109375
2021-02-28,39928.6787109375
2021-03-01,39928.6787109375
2021-03-02,38731.44177246094
2021-03-03,38930.759033203125
2021-03-04,38095.20080566406
2021-03-05,39726.71887207031
2021-03-06,39943.20080566406
2021-03-07,39943.20080566406
2021-03-08,39943.20080566406
2021-03-09,38973.0
2021-03-10,40003.919677734375
2021-03-11,41022.95983886719
2021-03-12,41957.51806640625
2021-03-13,42699.36145019531
2021-03-14,42699.36145019531
2021-03-15,42699.36145019531
2021-03-16,41561.51806640625
2021-03-17,42490.79919433594
2021-03-18,41991.83935546875
2021-03-19,41712.0
2021-03-20,41115.36145019531
2021-03-21,41115.36145019531
2021-03-22,41115.36145019531
2021-03-23,39590.759033203125
2021-03-24,40314.12048339844
2021-03-25,41479.6787109375
2021-03-26,43541.51806640625
2021-03-27,42830.04016113281
2021-03-28,42830.04016113281
2021-03-29,42830.04016113281
2021-03-30,43983.71887207031
2021-03-31,43468.919677734375
2021-04-01,43785.71887207031
2021-04-02,43761.95983886719
2021-04-03,43761.95983886719
2021-04-04,43761.95983886719
2021-04-05,43761.95983886719
2021-04-06,42956.759033203125
2021-04-07,42504.0
2021-04-08,42405.0
2021-04-09,42861.71887207031
2021-04-10,43278.83935546875
2021-04-11,43278.83935546875
2021-04-12,43278.83935546875
2021-04-13,42975.240966796875
2021-04-14,42907.919677734375
2021-04-15,42951.48193359375
2021-04-16,43314.48193359375
2021-04-17,42845.87951660156
2021-04-18,42845.87951660156
2021-04-19,42845.87951660156
2021-04-20,41017.6787109375
2021-04-21,41811.0
2021-04-22,40918.6787109375
2021-04-23,42100.080322265625
2021-04-24,42896.04016113281
2021-04-25,42896.04016113281
2021-04-26,42896.04016113281
2021-04-27,42876.240966796875
2021-04-28,42880.20080566406
2021-04-29,43207.55822753906
2021-04-30,42233.401611328125
2021-05-01,42477.598388671875
2021-05-02,42477.598388671875
2021-05-03,42477.598388671875
2021-05-04,43553.401611328125
2021-05-05,43917.71887207031
2021-05-06,45220.55822753906
2021-05-07,45847.55822753906
2021-05-08,45954.48193359375
2021-05-09,45954.48193359375
2021-05-10,45954.48193359375
2021-05-11,44923.55822753906
2021-05-12,43466.28112792969
2021-05-13,43963.919677734375
2021-05-14,45116.28112792969
2021-05-15,45017.28112792969
2021-05-16,45017.28112792969
2021-05-17,45017.28112792969
2021-05-18,43735.55822753906
2021-05-19,42416.87951660156
2021-05-20,42148.919677734375
2021-05-21,42431.401611328125
2021-05-22,43021.44177246094
2021-05-23,43021.44177246094
2021-05-24,43021.44177246094
2021-05-25,42818.16064453125
2021-05-26,43140.240966796875
2021-05-27,61936.31106567383
2021-05-28,62036.068786621094
2021-05-29,62938.65184020996
2021-05-30,62938.65184020996
2021-05-31,62938.65184020996
2021-06-01,62938.65184020996
2021-06-02,62885.489807128906
2021-06-03,62275.83969116211
2021-06-04,61918.89122009277
2021-06-05,59730.088455200195
2021-06-06,59730.088455200195
2021-06-07,59730.088455200195
2021-06-08,60955.2287902832
2021-06-09,59374.11869812012
2021-06-10,57586.74118041992
2021-06-11,57831.92938232422
2021-06-12,57512.961669921875
2021-06-13,57512.961669921875
2021-06-14,57512.961669921875
2021-06-15,58351.05790710449
2021-06-16,57699.288314819336
2021-06-17,56034.85877990723
2021-06-18,55163.10144042969
2021-06-19,56806.61845397949
2021-06-20,56806.61845397949
2021-06-21,56806.61845397949
2021-06-22,57385.250396728516
2021-06-23,57775.689376831055
2021-06-24,58957.34844970703
2021-06-25,58518.89013671875
2021-06-26,59209.94869995117
2021-06-27,59209.94869995117
2021-06-28,59209.94869995117
2021-06-29,58856.78840637207
2021-06-30,59428.9714050293
2021-07-01,59931.90075683594
2021-07-02,59746.44088745117
2021-07-03,58588.259536743164
2021-07-04,58588.259536743164
2021-07-05,58588.259536743164
2021-07-06,58588.259536743164
2021-07-07,59110.88153076172
2021-07-08,57990.1403503418
2021-07-09,59669.46113586426
2021-07-10,60238.379959106445
2021-07-11,60238.379959106445
2021-07-12,60238.379959106445
2021-07-13,58951.55154418945
2021-07-14,58775.97985839844
2021-07-15,59046.11897277832
2021-07-16,57863.0085144043
2021-07-17,56861.80043029785
2021-07-18,56861.80043029785
2021-07-19,56861.80043029785
2021-07-20,58854.90075683594
2021-07-21,60459.080810546875
2021-07-22,59939.69021606445
2021-07-23,60681.119567871094
2021-07-24,60786.37046813965
2021-07-25,60786.37046813965
2021-07-26,60786.37046813965
2021-07-27,60858.70050048828
2021-07-28,60593.231674194336
2021-07-29,60461.11901855469
2021-07-30,61459.148040771484
2021-07-31,61078.88870239258
2021-08-01,61078.88870239258
2021-08-02,61078.88870239258
2021-08-03,62378.011306762695
2021-08-04,60159.39149475098
